category,name,description,identity,type,pricing,pros,cons,use_case,prompt_tip,prompt,source
"동영상 생성","Kling","물리 법칙의 대가: 액체 흐름, 근육 움직임 등 복잡한 물리 구현 및 o1 추론 탑재","","Freemium","","","","","","","이성은"
"동영상 생성","Sora","시네마틱 표준: 영화급 화질과 롱테이크 영상의 일관성 유지 능력 독보적","","Freemium","","","","","","","이성은"
"동영상 생성","Veo2","사운드 통합: 영상과 배경음악(OST)을 동시에 생성하는 완벽한 멀티모달 기능","","Freemium","","","","","","","이성은"
"동영상 생성","Runway","모션 캡처: 'Act One' 기능을 통한 실제 표정 및 동작의 실시간 캐릭터 이식","","Freemium","","","","","","","이성은"
"동영상 생성","Luma","초고속 생성: 텍스트 입력 후 수 초 내 결과물 도출 및 정교한 키프레임 제어","","Freemium","","","","","","","이성은"
"동영상 생성","Hailuo","액션 연출: 폭발, 격투, 역동적인 카메라 워킹 등 고난도 액션 묘사에 강점","","Freemium","","","","","","","이성은"
"동영상 생성","Vidu","애니메이션: 동양권 애니메이션 화풍 및 캐릭터 디자인 유지 능력 우수","","Freemium","","","","","","","이성은"
"동영상 생성","Pika","물리 효과: 사물을 으깨거나 늘리는 등의 창의적인 특수 효과(FX)에 특화","","Freemium","","","","","","","이성은"
"동영상 생성","Qwen / Vidu","글로벌 감성: 아시아권 문화 데이터 학습으로 동양적 배경/인물 묘사 사실적","","Freemium","","","","","","","이성은"
"동영상 생성","Krea / Freepik","실시간 렌더링: 사용자의 스케치를 즉각적인 영상 소스로 변환하는 실시간 워크플로우","","Freemium","","","","","","","이성은"
"동영상 생성","Genspark","정보 시각화: 검색 데이터를 기반으로 한 정보성(Infographic) 영상 자동 구성","","Freemium","","","","","","","이성은"
"이미지 편집","Photoshop","업계 표준: '생성형 채우기'와 '확장' 기능이 가장 안정적이며 레이어 기반 편집 최강","","Freemium","","","","","","","이성은"
"이미지 편집","Magnific","디테일 복원: 단순 확장이 아닌, AI가 모공/질감을 새로 그려 넣는 초고해상도 변환","","Freemium","","","","","","","이성은"
"이미지 편집","Firefly","저작권 안전: Adobe 자체 데이터만 학습하여 상업적 이용 시 법적 안전성 1위","","Freemium","","","","","","","이성은"
"이미지 편집","Krea","인터랙티브 편집: 마우스 움직임에 따라 실시간으로 이미지가 변하는 직관적 UI","","Freemium","","","","","","","이성은"
"이미지 편집","Leonardo","캔버스 편집: 이미지의 경계를 무한히 넓히는 아웃페인팅과 부분 수정(Inpainting)","","Freemium","","","","","","","이성은"
"이미지 편집","Scenario","게임 에셋: 일관된 화풍을 유지하며 아이템, 장비 등을 수정하는 게임 개발용 툴","","Freemium","","","","","","","이성은"
"이미지 편집","Grok (Imagine)","실시간 트렌드: X(트위터)의 최신 이슈를 즉각 반영한 이미지 합성 및 풍자 편집","","Freemium","","","","","","","이성은"
"이미지 편집","Microsoft Designer","오피스 연동: PPT나 문서 데이터를 바탕으로 즉석에서 디자인 리소스로 변환","","Freemium","","","","","","","이성은"
"이미지 편집","Playground","커뮤니티 기반: 다양한 필터와 사용자 프리셋을 활용한 쉽고 빠른 혼합 편집","","Freemium","","","","","","","이성은"
"이미지 편집","AI Studio","프로토타이핑: 구글 모델을 활용해 앱/웹 디자인 초안을 빠르게 수정 및 테스트","","Freemium","","","","","","","이성은"
"이미지 생성","Midjourney","예술성 1위: 독보적인 화풍과 질감 표현으로 전문 작가들이 가장 선호 (v7 기준)","","Freemium","","","","","","","이성은"
"이미지 생성","Flux","실사 끝판왕: 인체(손가락 등)와 피부 표현, 조명 반사가 실제 사진과 구분 불가","","Freemium","","","","","","","이성은"
"이미지 생성","Ideogram","타이포그래피: 이미지 내 로고, 간판, 티셔츠 글자를 오타 없이 정확히 렌더링","","Freemium","","","","","","","이성은"
"이미지 생성","ImageFX","직관적 제어: 구글의 최신 모델을 사용하며 키워드 조합으로 미세 조정이 매우 간편","","Freemium","","","","","","","이성은"
"이미지 생성","Redraft","캐릭터 고정: 기존 인물의 얼굴과 구도를 유지하며 스타일만 바꾸는 고정 생성","","Freemium","","","","","","","이성은"
"이미지 생성","Leonardo","모델 다양성: 미드저니 스타일부터 Flux까지 다양한 엔진을 한곳에서 선택 가능","","Freemium","","","","","","","이성은"
"이미지 생성","Freepik","상업용 리소스: 마케팅에 즉시 사용 가능한 아이콘, 일러스트, 벡터 스타일 생성","","Freemium","","","","","","","이성은"
"이미지 생성","Genspark","맥락 이해: 사용자 질문의 의도를 분석해 가장 적절한 구도의 이미지를 자동 생성","","Freemium","","","","","","","이성은"
"글쓰기 & 정리","ChatGPT (OpenAI)","","범용 LLM 작업 파트너","Freemium","Free / Plus ($20/월)","음성 모드(Voice)와 GPTs 생태계. 코딩, 이미지, 분석을 한 채팅방에서 가장 유연하게 처리.","최신 정보 반영 속도가 검색 전용 툴보다 느림. 할루시네이션 존재.","아이디어 발상, 초안, 종합 업무","페르소나·단계 프롬프트","""10년차 에디터 페르소나로, 이 회의록을 CEO 보고용 A4 1장 불렛포인트로 요약해줘.""","강정민"
"글쓰기 & 정리","Claude","","장문 특화 AI 작가","Freemium","Free / Pro ($20/월)","가장 자연스러운 한국어 작문. 긴 문맥(Context)을 이해하며 문학적/논리적 글쓰기에 최적.","웹 검색 기능이 약하고, 사용량 제한(메시지 횟수)이 경쟁사 대비 엄격함.","보고서 작성, 논문 분석, 긴 글","톤 유지 프롬프트","""이 50p 논문을 읽고 서론-본론-결론 구조로 요약하고, 핵심 주장의 논리적 허점을 찾아줘.""","강정민"
